topicid;dnbid;rel
1;1121599044;2
1;1045263230;2
1;1045040096;2
1;991939492;2
1;1049526260;2
1;1074484339;2
1;1076506615;1
1;0107448438X;2
1;1034975072;2
1;1072401495;2
1;988990873;2
1;1046983857;1
1;987276727;1
1;994852282;2
1;1017617279;2
1;1046324012;1
1;1067619178;1
1;994409281;2
1;1057006998;1
1;994387296;1
1;988989549;1
1;1015937802;1
1;1052951201;1
1;1046981188;1
1;1009741160;2
1;1058477765;1
1;1099956196;1
1;1052586392;2
1;1060639076;2
1;1060507803;0
1;1128908395;1
1;0106847355X;0
1;1072076306;2
1;1067706275;1
1;1045525049;0
1;1117709132;1
1;0100411186X;1
1;986756466;0
1;1028140916;2
1;1035318776;0
1;1049500709;2
1;0105033664X;0
1;1058512749;1
1;1066287961;1
1;1077307888;0
1;1098558634;0
1;099913681X;2
1;1072401363;0
1;1081169710;1
1;994101260;1
1;989102629;0
1;1063360196;1
1;1120940125;1
1;990568814;1
1;993446469;1
1;1065956126;0
1;0106672377X;0
1;1075192188;0
1;1105487709;0
1;1010876244;0
1;1051514169;0
1;1074484347;0
1;1049874307;0
1;0107465935X;1
1;1014177588;0
1;987900439;0
1;1003551157;0
1;1097428907;2
1;1049285336;0
1;1064990304;0
1;1075809878;0
1;996644385;0
1;1054809895;1
1;1117149307;0
1;1047747243;1
1;1107983231;0
1;1107586976;0
1;1052171877;0
1;1066905029;0
1;1104508494;1
1;1064044700;2
1;1069574007;0
1;1135572992;0
1;1074040252;0
1;0111781131X;0
1;1068444304;1
1;1119271320;2
1;1113673311;2
25;1074470699;2
25;1077706316;2
25;1078902976;1
25;1011683520;0
25;1125454148;1
25;1061062554;2
25;1136903860;0
25;991116623;0
25;986337862;0
25;0101289181X;0
25;1121313612;0
25;986119814;1
25;990339904;0
25;1001886550;1
25;1027315496;0
25;1060717875;0
25;1068530111;0
25;1081257458;0
25;1112386696;1
25;988481677;0
25;990483657;0
25;991245083;0
25;993692311;0
25;099386919X;0
25;993869297;0
25;995914850;0
25;1004449224;0
25;1007832061;0
25;1058644580;0
25;1119739667;0
25;985721871;0
25;986497193;0
25;986610917;0
25;986704423;0
25;987294717;0
25;990339947;0
25;992135028;0
25;992152887;0
25;993732607;0
25;994327145;0
25;997475307;0
25;998067245;0
25;998702781;0
25;0100865888X;0
25;1009945211;0
25;1011642549;0
25;1017010420;0
25;1022903713;0
25;1027116876;0
25;1067522123;0
25;1078774668;0
25;1079007067;0
25;1080918272;0
25;0109996864X;0
25;1100181601;0
25;1125946148;0
25;1140835815;0
25;984392130;0
25;986496227;0
25;986556157;0
25;098655815X;0
25;986968145;0
25;988486709;0
25;988571641;0
25;988919346;0
25;099160556X;0
25;1020681500;0
25;1047884933;0
25;1060606887;0
25;0108019634X;0
25;986121312;1
25;996031839;0
25;999107720;1
25;1007253355;0
25;1018130349;0
25;1027966187;0
25;1028838212;0
25;1049585208;0
25;1056961198;0
25;1062536711;0
25;1096493950;0
25;1110170734;0
25;1138901113;0
25;099029322X;0
25;099455026X;0
25;1011688301;0
25;1046475711;0
25;1048560503;0
25;1062842464;0
25;1062948866;0
25;0106989057X;0
25;1081090243;0
25;1089072309;0
25;1089072902;0
25;988277492;0
25;988733463;0
25;1003337058;0
25;1073169308;0
25;1000474674;0
25;991402847;0
25;993678289;0
25;099397001X;0
25;1008663816;0
25;1014604540;0
25;1065269919;0
25;1067580980;0
25;987816438;0
25;099874218X;0
25;999107607;0
25;1000719995;0
25;1126036153;0
25;996092536;0
25;0100545535X;0
25;1009450484;0
25;0100969832X;0
25;1072078031;0
